LongId,Id,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,PreClosePrice,Change,Percent_Change,Volumn,Amount
123,000002.SZ,1991-01-29,14.58,14.58,14.58,14.58,1.00,13.58,1358.00,3,22.00
130,000002.SZ,1991-01-30,14.51,14.51,14.51,14.51,14.58,-0.07,-0.48,17,123.00
149,000002.SZ,1991-02-04,14.66,14.66,14.66,14.66,14.59,0.07,0.48,56,410.00
156,000002.SZ,1991-02-05,14.73,14.73,14.73,14.73,14.66,0.07,0.48,29,213.00
164,000002.SZ,1991-02-06,14.80,14.80,14.80,14.80,14.73,0.07,0.48,29,215.00
172,000002.SZ,1991-02-07,14.87,14.87,14.87,14.87,14.80,0.07,0.47,48,357.00
181,000002.SZ,1991-02-08,14.94,14.94,14.94,14.94,14.87,0.07,0.47,66,493.00
189,000002.SZ,1991-02-11,15.09,15.09,15.09,15.09,15.01,0.08,0.53,33,249.00
197,000002.SZ,1991-02-12,15.07,15.07,15.07,15.07,15.09,-0.02,-0.13,236,1778.00
206,000002.SZ,1991-02-13,15.25,15.25,15.25,15.25,15.07,0.18,1.19,33,252.00
232,000002.SZ,1991-02-22,15.33,15.33,15.33,15.33,15.25,0.08,0.52,116,889.00
239,000002.SZ,1991-02-25,15.33,15.33,15.33,15.33,15.41,-0.08,-0.52,410,3143.00
246,000002.SZ,1991-02-26,15.25,15.25,15.25,15.25,15.33,-0.08,-0.52,100,762.00
253,000002.SZ,1991-02-27,15.17,15.17,15.17,15.17,15.25,-0.08,-0.52,258,1957.00
260,000002.SZ,1991-02-28,15.09,15.09,15.09,15.09,15.17,-0.08,-0.53,46,347.00
267,000002.SZ,1991-03-01,15.01,15.01,15.01,15.01,15.09,-0.08,-0.53,28,210.00
274,000002.SZ,1991-03-04,14.86,14.86,14.86,14.86,14.03,0.83,5.92,30,222.00
282,000002.SZ,1991-03-05,14.79,14.79,14.79,14.79,14.86,-0.07,-0.47,22,163.00
290,000002.SZ,1991-03-06,14.72,14.72,14.72,14.72,14.79,-0.07,-0.47,21,154.00
298,000002.SZ,1991-03-07,14.65,14.65,14.65,14.65,14.72,-0.07,-0.48,5,37.00
305,000002.SZ,1991-03-08,14.58,14.58,14.58,14.58,14.65,-0.07,-0.48,10,73.00
312,000002.SZ,1991-03-11,14.44,14.44,14.44,14.44,14.51,-0.07,-0.48,15,108.00
319,000002.SZ,1991-03-12,14.37,14.37,14.37,14.37,14.44,-0.07,-0.48,13,93.00
327,000002.SZ,1991-03-13,14.30,14.30,14.30,14.30,14.37,-0.07,-0.49,39,279.00
335,000002.SZ,1991-03-14,14.23,14.23,14.23,14.23,14.30,-0.07,-0.49,32,228.00
342,000002.SZ,1991-03-15,14.16,14.16,14.16,14.16,14.23,-0.07,-0.49,13,92.00
350,000002.SZ,1991-03-18,14.02,14.02,14.02,14.02,14.09,-0.07,-0.50,26,182.00
359,000002.SZ,1991-03-19,13.95,13.95,13.95,13.95,14.02,-0.07,-0.50,15,105.00
366,000002.SZ,1991-03-20,13.88,13.88,13.88,13.88,13.95,-0.07,-0.50,19,132.00
374,000002.SZ,1991-03-21,13.81,13.81,13.81,13.81,13.88,-0.07,-0.50,12,83.00
382,000002.SZ,1991-03-22,13.74,13.74,13.74,13.74,13.81,-0.07,-0.51,10,69.00
388,000002.SZ,1991-03-25,13.60,13.60,13.60,13.60,13.67,-0.07,-0.51,4,27.00
396,000002.SZ,1991-03-26,13.53,13.53,13.53,13.53,13.60,-0.07,-0.51,4,27.00
404,000002.SZ,1991-03-27,13.46,13.46,13.46,13.46,13.53,-0.07,-0.52,90,606.00
410,000002.SZ,1991-03-28,13.39,13.39,13.39,13.39,13.46,-0.07,-0.52,4,27.00
416,000002.SZ,1991-03-29,13.18,13.18,13.18,13.18,13.39,-0.21,-1.57,12,79.00
432,000002.SZ,1991-04-02,13.11,13.11,13.11,13.11,13.25,-0.14,-1.06,14,92.00
441,000002.SZ,1991-04-03,13.04,13.04,13.04,13.04,13.11,-0.07,-0.53,11,72.00
458,000002.SZ,1991-04-04,12.97,12.97,12.97,12.97,13.04,-0.07,-0.54,7,45.00
467,000002.SZ,1991-04-05,12.91,12.91,12.91,12.91,12.97,-0.06,-0.46,14,90.00
477,000002.SZ,1991-04-08,12.79,12.79,12.79,12.79,12.85,-0.06,-0.47,2,13.00
486,000002.SZ,1991-04-09,12.73,12.73,12.73,12.73,12.79,-0.06,-0.47,1,6.00
495,000002.SZ,1991-04-10,12.67,12.67,12.67,12.67,12.73,-0.06,-0.47,4,25.00
503,000002.SZ,1991-04-11,12.61,12.61,12.61,12.61,12.67,-0.06,-0.47,2,13.00
512,000002.SZ,1991-04-12,12.55,12.55,12.55,12.55,12.61,-0.06,-0.48,7,44.00
525,000002.SZ,1991-04-16,12.37,12.37,12.37,12.37,12.49,-0.12,-0.96,3,18.00
533,000002.SZ,1991-04-17,12.31,12.31,12.31,12.31,12.37,-0.06,-0.49,2,12.00
546,000002.SZ,1991-04-19,12.19,12.19,12.19,12.19,12.31,-0.12,-0.97,3,18.00
560,000002.SZ,1991-04-23,12.01,12.01,12.01,12.01,12.19,-0.18,-1.48,1,6.00
568,000002.SZ,1991-04-24,11.95,11.95,11.95,11.95,12.01,-0.06,-0.50,1,6.00
576,000002.SZ,1991-04-25,11.89,11.89,11.89,11.89,11.95,-0.06,-0.50,2,12.00
577,000002.SZ,1991-04-26,11.83,11.83,11.83,11.83,11.89,-0.06,-0.50,4,24.00
585,000002.SZ,1991-04-29,11.71,11.71,11.71,11.71,11.83,-0.12,-1.01,5,29.00
592,000002.SZ,1991-04-30,11.65,11.65,11.65,11.65,11.71,-0.06,-0.51,6,35.00
601,000002.SZ,1991-05-02,11.59,11.59,11.59,11.59,11.65,-0.06,-0.52,6,35.00
609,000002.SZ,1991-05-03,11.53,11.53,11.53,11.53,11.59,-0.06,-0.52,5,29.00
622,000002.SZ,1991-05-07,11.35,11.35,11.35,11.35,11.47,-0.12,-1.05,10,57.00
630,000002.SZ,1991-05-08,11.29,11.29,11.29,11.29,11.35,-0.06,-0.53,20,113.00
638,000002.SZ,1991-05-09,11.23,11.23,11.23,11.23,11.29,-0.06,-0.53,87,481.00
648,000002.SZ,1991-05-10,11.17,11.17,11.17,11.17,11.23,-0.06,-0.53,49,274.00
659,000002.SZ,1991-05-13,11.05,11.05,11.05,11.05,11.11,-0.06,-0.54,87,481.00
669,000002.SZ,1991-05-14,10.99,11.11,10.99,10.99,11.05,-0.06,-0.54,205,1133.00
677,000002.SZ,1991-05-15,11.17,11.17,11.17,11.17,10.99,0.18,1.64,116,648.00
685,000002.SZ,1991-05-16,11.23,11.23,11.23,11.23,11.17,0.06,0.54,92,516.00
703,000002.SZ,1991-05-17,11.29,11.29,11.29,11.29,11.23,0.06,0.53,378,2134.00
714,000002.SZ,1991-05-20,11.41,11.41,11.41,11.41,11.35,0.06,0.53,533,3041.00
725,000002.SZ,1991-05-21,11.47,11.47,11.47,11.47,11.41,0.06,0.53,383,2196.00
736,000002.SZ,1991-05-22,11.53,11.53,11.53,11.53,11.47,0.06,0.52,488,2813.00
747,000002.SZ,1991-05-23,11.59,11.59,11.59,11.59,11.53,0.06,0.52,312,1791.00
758,000002.SZ,1991-05-24,11.41,11.41,11.41,11.41,11.59,-0.18,-1.55,41,804.00
767,000002.SZ,1991-05-27,11.29,11.29,11.29,11.29,11.35,-0.06,-0.53,253,1426.00
846,000002.SZ,1991-06-10,7.50,7.50,7.50,7.50,7.95,-0.45,-5.66,15,47.00
